乌兰浩特,wulanhaote1316
八宿,basu120403
磐安,panan2028
安宁,anning2150
达拉特旗,dalateqi2964
伊宁市,yining2058
铜陵,tongling472
永康,yongkang189
普宁,puning1523
岱山,daishan999
兴安县,xingan722
库车,kuche1345
仁化,renhua959
鄯善,shanshan2502
桓仁,huanren2144
闽侯,minhou2666
海门,haimen1935
南江,nanjiang3109
内江,neijiang823
广汉,guanghan1349
德化,dehua2659
昭苏,zhaosu2508
仪征,yizheng562
嘉义县,chiayicounty3182
韩城,hancheng120420
云浮,yunfu836
邹城,zoucheng1359
札达,zhada2454
礼泉,liquan2759
灵石,lingshi3011
靖边,jingbian2745
石狮,shishi245
资阳,ziyang918
林州,linzhou1890
商城,shangcheng2260
濮阳,puyang581
罗田,luotian2717
丰宁,fengning568
吉县,jixian3038
苗栗,miaoli3199
东源,dongyuan2929
陵川,lingchuan3004
丰顺,fengshun2934
杜尔伯特,duerbote2231
黄陵,huangling2734
宿州,suzhou672
乌海,wuhai677
和平,heping2948
漳浦,zhangpu2670
新兴,xinxing2919
绥化,suihua856
陇南,longnan1491
广南,guangnan2198
哈巴河,habahe2480
东兴,dongxing964
井陉,jingxing2532
淮北,huaibei657
兴隆,xinlong2528
青铜峡,qingtongxia2330
利川,lichuan984
沽源,guyuan2591
洪江,hongjiang2825
石阡,shiqian2351
马尔康,maerkang913
庐江,lujiang2602
融水,rongshui3047
靖西,jingxi967
宜章,yizhang2861
通道,tongdao992
犍为,jianwei3118
牙克石,yakeshi887
庄河,zhuanghe2148
阳西,yangxi2933
灵川,lingchuan3064
临朐,linqu2907
乐业,leye968
宁城,ningcheng1736
滕州,tengzhou1371
资兴,zixing1570
盱眙,xuyi2100
庆阳,qingyang834
涿鹿,zhuolu2585
乃东,naidong2441
克孜勒苏,kezilesukeerkezi2511
东台,dongtai916
长泰,changtai1900
鹤壁,hebi595
白城,baicheng870
禄丰,lufeng2188
宁蒗,ninglang2169
霍山,huoshan2609
汝城,rucheng2852
盖州,gaizhou1941
鲁山,lushan2270
平江,pingjiang2848
塔什库尔干,tashikuergan2481
湘潭县,xiangtanxian2858
周至,zhouzhi2781
桃源,taoyuan991
长阳,changyang2690
凤城,fengcheng1762
